name,lat,lon,分類,説明,住所
浅川河川敷,35.66743527341198,139.31640877216887,指定緊急避難場所（広域避難場所）地震［屋外］,大地震が発生したときに発生する延焼火災や有毒ガスなどの危険から身を守るための場所です。,長沼橋付近～市立上壱分方小学校付近
富士森公園,35.65132831599982,139.32271196566137,指定緊急避難場所［広域避難場所］-地震（屋外）,大地震が発生したときに発生する延焼火災や有毒ガスなどの危険から身を守るための場所です。,台町２－２
陵南公園,35.64911894972467,139.28971360095952,指定緊急避難場所［広域避難場所］-地震（屋外）,大地震が発生したときに発生する延焼火災や有毒ガスなどの危険から身を守るための場所です。,長房町、東浅川町
小宮公園,35.6736279545302,139.3406543041359,指定緊急避難場所［広域避難場所］-地震（屋外）,大地震が発生したときに発生する延焼火災や有毒ガスなどの危険から身を守るための場所です。,大谷町、暁町二丁目
清水公園,35.68267530122592,139.3127662516464,指定緊急避難場所［広域避難場所］-地震（屋外）,大地震が発生したときに発生する延焼火災や有毒ガスなどの危険から身を守るための場所です。,犬目町、楢原町
工学院大学,35.6834029290453,139.31805879765503,指定緊急避難場所［広域避難場所］-地震（屋外）,大地震が発生したときに発生する延焼火災や有毒ガスなどの危険から身を守るための場所です。,中野町2665－1
首都大学東京,35.617367012679495,139.37714116121666,指定緊急避難場所［広域避難場所］-地震（屋外）,大地震が発生したときに発生する延焼火災や有毒ガスなどの危険から身を守るための場所です。,南大沢１－１
中央大学,35.64269382054864,139.40795479994105,指定緊急避難場所［広域避難場所］-地震（屋外）,大地震が発生したときに発生する延焼火災や有毒ガスなどの危険から身を守るための場所です。,東中野742－１
東京工科大学,35.62785699193322,139.33967853582163,指定緊急避難場所［広域避難場所］-地震（屋外）,大地震が発生したときに発生する延焼火災や有毒ガスなどの危険から身を守るための場所です。,片倉町1404－１
東京薬科大学,35.63885255040131,139.3845052380098,指定緊急避難場所［広域避難場所］-地震（屋外）,大地震が発生したときに発生する延焼火災や有毒ガスなどの危険から身を守るための場所です。,堀之内1432－１
創価大学,35.689506596262355,139.3287717766694,指定緊急避難場所［広域避難場所］-地震（屋外）,大地震が発生したときに発生する延焼火災や有毒ガスなどの危険から身を守るための場所です。,丹木町１－236
拓殖大学,35.62777621475854,139.28056252266322,指定緊急避難場所［広域避難場所］-地震（屋外）,大地震が発生したときに発生する延焼火災や有毒ガスなどの危険から身を守るための場所です。,館町815－１
明星大学,35.64416146804441,139.40898369994196,指定緊急避難場所［広域避難場所］-地震（屋外）,大地震が発生したときに発生する延焼火災や有毒ガスなどの危険から身を守るための場所です。,日野市程久保２－１－１
共立女子学園,35.66124942785824,139.28959443925314,指定緊急避難場所［広域避難場所］-地震（屋外）,大地震が発生したときに発生する延焼火災や有毒ガスなどの危険から身を守るための場所です。,元八王子町1－710
