name,lat,lon,分類,説明,住所,電話,FAX
芸術文化会館（いちょうホール）,35.66271569490839,139.33235445581832,（市）一時滞在施設一覧,公共交通機関が停止し、帰宅困難になった方が、帰宅可能になるまで一時的に滞在する施設です。,本町24－1,621-3001,621-3007
南大沢文化会館 ,35.61211865304047,139.3794151464815,（市）一時滞在施設一覧,公共交通機関が停止し、帰宅困難になった方が、帰宅可能になるまで一時的に滞在する施設です。,南大沢2－27フレスコ南大沢公共施設棟内,679-2202,679-2212
J:COMホール八王子（市民会館） ,35.65518256056295,139.33741524343105,（市）一時滞在施設一覧,公共交通機関が停止し、帰宅困難になった方が、帰宅可能になるまで一時的に滞在する施設です。,子安町4－7－1サザンスカイタワー八王子４階,655-0802,655-0807
東浅川保健福祉センター,35.64530208078827,139.29203156077094,（市）一時滞在施設一覧,公共交通機関が停止し、帰宅困難になった方が、帰宅可能になるまで一時的に滞在する施設です。,東浅川町551－1 ,667-1331,667-7829
高尾599ミュージアム,35.630434526365065,139.2686804186203,（市）一時滞在施設一覧,公共交通機関が停止し、帰宅困難になった方が、帰宅可能になるまで一時的に滞在する施設です。,高尾町2435－3,665-6688,668-8631
八王子駅北口地下自由通路,35.65648786410259,139.33919061350414,（市）一時滞在施設一覧,公共交通機関が停止し、帰宅困難になった方が、帰宅可能になるまで一時的に滞在する施設です。,旭町１－B１,642-1789,642-1786
クリエイトホール,35.6587486307009,139.3399870288361,（市）一時滞在施設一覧,公共交通機関が停止し、帰宅困難になった方が、帰宅可能になるまで一時的に滞在する施設です。,東町5－6,648-2231,648-2151
総合体育館（エスフォルタアリーナ八王子）,35.64009768522285,139.29254448650838,（市）一時滞在施設一覧,公共交通機関が停止し、帰宅困難になった方が、帰宅可能になるまで一時的に滞在する施設です。,狭間町1453－1,662-4880,664-1501
八王子城跡ガイダンス施設,35.65585628758392,139.26155798256457,（市）一時滞在施設一覧,公共交通機関が停止し、帰宅困難になった方が、帰宅可能になるまで一時的に滞在する施設です。,元八王子町3－2664－2,663-2800,663-2800
八王子拓真高等学校,35.655194763864884,139.31815294882972,（都）一時滞在施設一覧,公共交通機関が停止し、帰宅困難になった方が、帰宅可能になるまで一時的に滞在する施設です。,台町3－25－1,622－7563,622－7564
多摩職業能力開発センター八王子校 ,35.649779660147345,139.32798583440848,（都）一時滞在施設一覧,公共交通機関が停止し、帰宅困難になった方が、帰宅可能になるまで一時的に滞在する施設です。,台町1－11－1,622－8201,-
松が谷高等学校,35.62845220217942,139.41065710066408,（都）一時滞在施設一覧,公共交通機関が停止し、帰宅困難になった方が、帰宅可能になるまで一時的に滞在する施設です。,松が谷1772 ,676－1231,675－1237
東京都立大学　南大沢キャンパス ,35.61744057813813,139.37723100185283,（都）一時滞在施設一覧,公共交通機関が停止し、帰宅困難になった方が、帰宅可能になるまで一時的に滞在する施設です。,南大沢1－1,677－1111,-
東京都立多摩産業交流センター,35.65635216666147,139.34350863033643,（都）一時滞在施設一覧,公共交通機関が停止し、帰宅困難になった方が、帰宅可能になるまで一時的に滞在する施設です。,明神町3－19－2,-,-
南多摩中等教育学校,35.66056043210413,139.34411729583866,（都）一時滞在施設一覧,公共交通機関が停止し、帰宅困難になった方が、帰宅可能になるまで一時的に滞在する施設です。,明神町4－20－1,656－7030,656－7031
八王子桑志高等学校 ,35.65791685971111,139.30582651456191,（都）一時滞在施設一覧,公共交通機関が停止し、帰宅困難になった方が、帰宅可能になるまで一時的に滞在する施設です。,千人町4－8－1,663－5970,663－5973
八王子北高等学校 ,35.68569791628015,139.30344314054085,（都）一時滞在施設一覧,公共交通機関が停止し、帰宅困難になった方が、帰宅可能になるまで一時的に滞在する施設です。,楢原町601,626－3787,627－0174
富士森高等学校 ,35.65711912340217,139.30248125822962,（都）一時滞在施設一覧,公共交通機関が停止し、帰宅困難になった方が、帰宅可能になるまで一時的に滞在する施設です。,長房町420－2,661－0444,662－9830
翔陽高等学校,35.62988152721669,139.29157505205438,（都）一時滞在施設一覧,公共交通機関が停止し、帰宅困難になった方が、帰宅可能になるまで一時的に滞在する施設です。,館町1097－136,663－3318,663－3362
