name,lat,lon,分類,説明,住所,URL
鑓水給水所,35.624858676169026,139.3498518306857,災害時給水ステーション（応急給水拠点）,大地震により断水した場合に、水槽内の水道水を飲み水として確保し、市民の皆さんにお配りする場所です。,鑓水401,https://www.city.hachioji.tokyo.jp/kurashi/life/002/001/003/p006727.html
西寺方給水所,35.690014529363,139.26630299999997,災害時給水ステーション（応急給水拠点）,大地震により断水した場合に、水槽内の水道水を飲み水として確保し、市民の皆さんにお配りする場所です。,西寺方町1006-167,https://www.city.hachioji.tokyo.jp/kurashi/life/002/001/003/p006727.html
狭間給水所,35.63028540434772,139.27879748111457,災害時給水ステーション（応急給水拠点）,大地震により断水した場合に、水槽内の水道水を飲み水として確保し、市民の皆さんにお配りする場所です。,狭間町1994-478,https://www.city.hachioji.tokyo.jp/kurashi/life/002/001/003/p006727.html
犬目第二給水所,35.69995546687033,139.30266099999986,災害時給水ステーション（応急給水拠点）,大地震により断水した場合に、水槽内の水道水を飲み水として確保し、市民の皆さんにお配りする場所です。,犬目町710,https://www.city.hachioji.tokyo.jp/kurashi/life/002/001/003/p006727.html
高月給水所,35.70607544279015,139.32031303358588,災害時給水ステーション（応急給水拠点）,大地震により断水した場合に、水槽内の水道水を飲み水として確保し、市民の皆さんにお配りする場所です。,高月町2240,https://www.city.hachioji.tokyo.jp/kurashi/life/002/001/003/p006727.html
散田給水所,35.65136870807565,139.31465933620575,災害時給水ステーション（応急給水拠点）,大地震により断水した場合に、水槽内の水道水を飲み水として確保し、市民の皆さんにお配りする場所です。,散田町2-6-1,https://www.city.hachioji.tokyo.jp/kurashi/life/002/001/003/p006727.html
東浅川給水所,35.640643656378316,139.29994180696656,災害時給水ステーション（応急給水拠点）,大地震により断水した場合に、水槽内の水道水を飲み水として確保し、市民の皆さんにお配りする場所です。,東浅川町674,https://www.city.hachioji.tokyo.jp/kurashi/life/002/001/003/p006727.html
寺田配水所,35.6163277258765,139.29695062467513,災害時給水ステーション（応急給水拠点）,大地震により断水した場合に、水槽内の水道水を飲み水として確保し、市民の皆さんにお配りする場所です。,寺田町1359-4,https://www.city.hachioji.tokyo.jp/kurashi/life/002/001/003/p006727.html
元八王子配水所,35.64806996902554,139.26638133862846,災害時給水ステーション（応急給水拠点）,大地震により断水した場合に、水槽内の水道水を飲み水として確保し、市民の皆さんにお配りする場所です。,元八王子町3-2750-487,https://www.city.hachioji.tokyo.jp/kurashi/life/002/001/003/p006727.html
北野給水所,35.65376832490097,139.35489615507274,災害時給水ステーション（応急給水拠点）,大地震により断水した場合に、水槽内の水道水を飲み水として確保し、市民の皆さんにお配りする場所です。,北野町595-3,https://www.city.hachioji.tokyo.jp/kurashi/life/002/001/003/p006727.html
南陽台配水所,35.63653856561043,139.3752562824505,災害時給水ステーション（応急給水拠点）,大地震により断水した場合に、水槽内の水道水を飲み水として確保し、市民の皆さんにお配りする場所です。,南陽台3-5-1,https://www.city.hachioji.tokyo.jp/kurashi/life/002/001/003/p006727.html
楢原給水所,35.67659573510526,139.3076579513625,災害時給水ステーション（応急給水拠点）,大地震により断水した場合に、水槽内の水道水を飲み水として確保し、市民の皆さんにお配りする場所です。,楢原町1294-3,https://www.city.hachioji.tokyo.jp/kurashi/life/002/001/003/p006727.html
暁町配水所,35.67505654219924,139.33627923363343,災害時給水ステーション（応急給水拠点）,大地震により断水した場合に、水槽内の水道水を飲み水として確保し、市民の皆さんにお配りする場所です。,暁町3-3-1,https://www.city.hachioji.tokyo.jp/kurashi/life/002/001/003/p006727.html
久保山配水所,35.686529673656274,139.3529269160733,災害時給水ステーション（応急給水拠点）,大地震により断水した場合に、水槽内の水道水を飲み水として確保し、市民の皆さんにお配りする場所です。,久保山町2-15-1,https://www.city.hachioji.tokyo.jp/kurashi/life/002/001/003/p006727.html
大船給水所,35.616665126216944,139.3171716098727,災害時給水ステーション（応急給水拠点）,大地震により断水した場合に、水槽内の水道水を飲み水として確保し、市民の皆さんにお配りする場所です。,七国3-56-1,https://www.city.hachioji.tokyo.jp/kurashi/life/002/001/003/p006727.html
鑓水小山給水所,35.605840115066016,139.36039535711828,災害時給水ステーション（応急給水拠点）,大地震により断水した場合に、水槽内の水道水を飲み水として確保し、市民の皆さんにお配りする場所です。,鑓水2-92,https://www.city.hachioji.tokyo.jp/kurashi/life/002/001/003/p006727.html
南大沢給水所,35.60325598540652,139.3800670278044,災害時給水ステーション（応急給水拠点）,大地震により断水した場合に、水槽内の水道水を飲み水として確保し、市民の皆さんにお配りする場所です。,南大沢4-1942,https://www.city.hachioji.tokyo.jp/kurashi/life/002/001/003/p006727.html
都立陵南公園応急給水槽,35.64911894972467,139.28971360095952,災害時給水ステーション（応急給水拠点）,大地震により断水した場合に、水槽内の水道水を飲み水として確保し、市民の皆さんにお配りする場所です。,長房町1572,https://www.city.hachioji.tokyo.jp/kurashi/life/002/001/003/p006727.html
椚田ポンプ所,35.63550284237196,139.31094843068308,災害時給水ステーション（応急給水拠点）,大地震により断水した場合に、水槽内の水道水を飲み水として確保し、市民の皆さんにお配りする場所です。,椚田町545,https://www.city.hachioji.tokyo.jp/kurashi/life/002/001/003/p006727.html
