name,lat,lon,分類,説明,住所,URL
東京医科大学八王子医療センター,35.632670173489046,139.2888980103411,緊急医療救護所,災害発生後おおむね７２時間まで災害拠点病院の近接地などに設置し、傷病者のトリアージ、軽症者に対する治療、重症者の搬送調整を行う場所です。,館町1163,https://www.city.hachioji.tokyo.jp/emergency/bousai/m12873/007/p005674.html
東海大学医学部付属八王子病院,35.67369316461006,139.3568720380253,緊急医療救護所,災害発生後おおむね７２時間まで災害拠点病院の近接地などに設置し、傷病者のトリアージ、軽症者に対する治療、重症者の搬送調整を行う場所です。,石川町1838,https://www.city.hachioji.tokyo.jp/emergency/bousai/m12873/007/p005674.html
一般財団法人仁和会仁和会総合病院,35.65901061779308,139.34130929500995,緊急医療救護所,災害発生後おおむね７２時間まで災害拠点病院の近接地などに設置し、傷病者のトリアージ、軽症者に対する治療、重症者の搬送調整を行う場所です。,明神町4-8-1,https://www.city.hachioji.tokyo.jp/emergency/bousai/m12873/007/p005674.html
医療法人財団興和会右田病院,35.66891625152425,139.34067147994446,緊急医療救護所,災害発生後おおむね７２時間まで災害拠点病院の近接地などに設置し、傷病者のトリアージ、軽症者に対する治療、重症者の搬送調整を行う場所です。,暁町1-48-18,https://www.city.hachioji.tokyo.jp/emergency/bousai/m12873/007/p005674.html
医療法人社団徳成会八王子山王病院,35.67393411540992,139.3281608339717,緊急医療救護所,災害発生後おおむね７２時間まで災害拠点病院の近接地などに設置し、傷病者のトリアージ、軽症者に対する治療、重症者の搬送調整を行う場所です。,中野山王2-15-16,https://www.city.hachioji.tokyo.jp/emergency/bousai/m12873/007/p005674.html
医療法人社団永生会南多摩病院,35.65545159188621,139.312686981037,緊急医療救護所,災害発生後おおむね７２時間まで災害拠点病院の近接地などに設置し、傷病者のトリアージ、軽症者に対する治療、重症者の搬送調整を行う場所です。,散田町3-10-1,https://www.city.hachioji.tokyo.jp/emergency/bousai/m12873/007/p005674.html
医療法人社団清智会清智会記念病院,35.650400067825785,139.33769761645203,緊急医療救護所,災害発生後おおむね７２時間まで災害拠点病院の近接地などに設置し、傷病者のトリアージ、軽症者に対する治療、重症者の搬送調整を行う場所です。,子安町3-24-15,https://www.city.hachioji.tokyo.jp/emergency/bousai/m12873/007/p005674.html
医療法人社団八九十会高月整形外科病院,35.711357835903655,139.32125316884856,緊急医療救護所,災害発生後おおむね７２時間まで災害拠点病院の近接地などに設置し、傷病者のトリアージ、軽症者に対する治療、重症者の搬送調整を行う場所です。,高月町360,https://www.city.hachioji.tokyo.jp/emergency/bousai/m12873/007/p005674.html
医療法人社団親和会野猿峠脳神経外科病院,35.63226207005944,139.3658195439266,緊急医療救護所,災害発生後おおむね７２時間まで災害拠点病院の近接地などに設置し、傷病者のトリアージ、軽症者に対する治療、重症者の搬送調整を行う場所です。,下柚木1974-1,https://www.city.hachioji.tokyo.jp/emergency/bousai/m12873/007/p005674.html
医療法人社団北原国際病院,35.66242175457586,139.36101939084836,緊急医療救護所,災害発生後おおむね７２時間まで災害拠点病院の近接地などに設置し、傷病者のトリアージ、軽症者に対する治療、重症者の搬送調整を行う場所です。,大和田町1-7-23,https://www.city.hachioji.tokyo.jp/emergency/bousai/m12873/007/p005674.html
医療法人社団永生会永生病院,35.63961100935595,139.30503621347864,緊急医療救護所,災害発生後おおむね７２時間まで災害拠点病院の近接地などに設置し、傷病者のトリアージ、軽症者に対する治療、重症者の搬送調整を行う場所です。,椚田町583-15,https://www.city.hachioji.tokyo.jp/emergency/bousai/m12873/007/p005674.html
医療法人社団健心会みなみ野循環器病院,35.63139553896997,139.332769351315,緊急医療救護所,災害発生後おおむね７２時間まで災害拠点病院の近接地などに設置し、傷病者のトリアージ、軽症者に対する治療、重症者の搬送調整を行う場所です。,兵衛1-25-1,https://www.city.hachioji.tokyo.jp/emergency/bousai/m12873/007/p005674.html
医療法人社団玉栄会東京天使病院,35.684377319334736,139.28094531019372,緊急医療救護所,災害発生後おおむね７２時間まで災害拠点病院の近接地などに設置し、傷病者のトリアージ、軽症者に対する治療、重症者の搬送調整を行う場所です。,上壱分方町50-1,https://www.city.hachioji.tokyo.jp/emergency/bousai/m12873/007/p005674.html
医療法人永寿会陵北病院,35.67228867918525,139.26609115263898,緊急医療救護所,災害発生後おおむね７２時間まで災害拠点病院の近接地などに設置し、傷病者のトリアージ、軽症者に対する治療、重症者の搬送調整を行う場所です。,西寺方町315,,https://www.city.hachioji.tokyo.jp/emergency/bousai/m12873/007/p005674.html
一般財団法人救急振興財団救急救命東京研修所,35.60926110578383,139.37351035261358,緊急医療救護所,災害発生後おおむね７２時間まで災害拠点病院の近接地などに設置し、傷病者のトリアージ、軽症者に対する治療、重症者の搬送調整を行う場所です。,南大沢4-5,https://www.city.hachioji.tokyo.jp/emergency/bousai/m12873/007/p005674.html
